latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
20.21477,55.71069,304.47,0.65,0.73,2026-08-24,2114,N,nominal,2.0NRT,291.95,0.55,N
39.04872,76.182,302.04,0.4,0.37,2026-08-24,2108,N,nominal,2.0NRT,289.82,1.21,N
19.26881,56.17206,303.65,0.59,0.7,2026-08-24,2114,N,nominal,2.0NRT,292.33,0.42,N
18.31998,55.10135,308.74,0.68,0.74,2026-08-24,2114,N,nominal,2.0NRT,293.78,2.38,N
39.18296,65.30994,304.99,0.54,0.51,2026-08-24,2108,N,nominal,2.0NRT,293.76,1.54,N
39.18193,65.31043,307.92,0.54,0.51,2026-08-24,2108,N,nominal,2.0NRT,293.89,1.39,N
18.32049,55.1035,327.95,0.68,0.74,2026-08-24,2114,N,nominal,2.0NRT,294.14,4.84,N
39.24935,63.17159,303.51,0.35,0.57,2026-08-24,2108,N,nominal,2.0NRT,293.12,0.44,N
18.0121,54.56758,348.99,0.73,0.76,2026-08-24,2114,N,nominal,2.0NRT,296.24,21.98,N
39.16535,63.26077,309.51,0.35,0.57,2026-08-24,2108,N,nominal,2.0NRT,293.43,0.69,N
17.9731,54.52072,305.81,0.73,0.76,2026-08-24,2114,N,nominal,2.0NRT,293.36,1.69,N
39.15665,63.3175,306.28,0.34,0.56,2026-08-24,2108,N,nominal,2.0NRT,292.64,0.71,N
17.9767,54.52415,306.56,0.73,0.76,2026-08-24,2114,N,nominal,2.0NRT,293.4,0.8,N
37.30453,77.71964,305.03,0.46,0.39,2026-08-24,2108,N,nominal,2.0NRT,281.26,0.99,N
37.30347,77.71786,301.96,0.46,0.39,2026-08-24,2108,N,nominal,2.0NRT,281.16,0.81,N
39.11407,63.33612,305.14,0.34,0.56,2026-08-24,2108,N,nominal,2.0NRT,293.42,0.58,N
39.05473,63.44336,304.59,0.34,0.56,2026-08-24,2108,N,nominal,2.0NRT,292.61,0.56,N
38.96454,63.69176,304.84,0.33,0.55,2026-08-24,2108,N,nominal,2.0NRT,293.24,0.62,N
38.97398,63.46808,307.93,0.34,0.56,2026-08-24,2108,N,nominal,2.0NRT,294.52,0.94,N
38.91583,63.80583,304.75,0.32,0.55,2026-08-24,2108,N,nominal,2.0NRT,292.8,0.42,N
38.68718,65.98898,303.09,0.49,0.49,2026-08-24,2108,N,nominal,2.0NRT,292.69,1.03,N
38.68269,65.98834,305.86,0.49,0.49,2026-08-24,2108,N,nominal,2.0NRT,292.4,0.9,N
38.45461,65.80392,304.31,0.5,0.49,2026-08-24,2108,N,nominal,2.0NRT,293.14,1.34,N
38.05221,67.26601,339.21,0.41,0.45,2026-08-24,2108,N,nominal,2.0NRT,296.91,11.61,N
38.05268,67.26137,302.36,0.41,0.45,2026-08-24,2108,N,nominal,2.0NRT,290.81,7.07,N
38.05712,64.884,307.75,0.55,0.51,2026-08-24,2108,N,nominal,2.0NRT,295.3,1.47,N
38.0568,64.88383,306.95,0.55,0.51,2026-08-24,2108,N,nominal,2.0NRT,295.36,1.28,N
37.9881,61.88967,304.92,0.4,0.6,2026-08-24,2108,N,nominal,2.0NRT,293.82,1.04,N
37.80216,62.55622,304.06,0.37,0.58,2026-08-24,2108,N,nominal,2.0NRT,292.72,1.31,N
37.79209,62.54222,310.91,0.37,0.58,2026-08-24,2108,N,nominal,2.0NRT,292.58,0.66,N
37.79887,62.55206,313.88,0.37,0.58,2026-08-24,2108,N,nominal,2.0NRT,293.16,1.08,N
37.78887,62.53814,306.54,0.37,0.58,2026-08-24,2108,N,nominal,2.0NRT,292.2,0.93,N
37.72632,62.09497,303.92,0.39,0.59,2026-08-24,2108,N,nominal,2.0NRT,292.36,0.77,N
37.67355,62.23901,306.76,0.38,0.59,2026-08-24,2108,N,nominal,2.0NRT,292.27,0.7,N
37.65855,61.90879,306.63,0.4,0.6,2026-08-24,2108,N,nominal,2.0NRT,293.34,0.6,N
37.63064,62.21704,304.05,0.38,0.59,2026-08-24,2108,N,nominal,2.0NRT,293.27,0.97,N
37.6276,62.17187,307.12,0.39,0.59,2026-08-24,2108,N,nominal,2.0NRT,294.52,1.36,N
37.6238,62.13987,311.08,0.39,0.59,2026-08-24,2108,N,nominal,2.0NRT,294.53,1.41,N
37.62299,62.13887,311.17,0.39,0.59,2026-08-24,2108,N,nominal,2.0NRT,294.58,1.86,N
37.59529,61.5252,305.07,0.42,0.61,2026-08-24,2108,N,nominal,2.0NRT,293.45,1.13,N
37.59504,61.53006,310.81,0.42,0.61,2026-08-24,2108,N,nominal,2.0NRT,293.84,1.13,N
37.58215,61.5582,307.48,0.42,0.61,2026-08-24,2108,N,nominal,2.0NRT,293.83,1.51,N
37.50422,61.98925,302.28,0.39,0.6,2026-08-24,2108,N,nominal,2.0NRT,292.21,0.55,N
37.50123,61.84528,308.55,0.4,0.6,2026-08-24,2108,N,nominal,2.0NRT,295.75,1.93,N
37.45304,57.68896,302.69,0.68,0.74,2026-08-24,2108,N,nominal,2.0NRT,290.12,0.87,N
37.45375,57.68448,302,0.68,0.74,2026-08-24,2108,N,nominal,2.0NRT,290.54,0.76,N
37.32969,60.62961,303.13,0.47,0.64,2026-08-24,2108,N,nominal,2.0NRT,291.11,0.62,N
37.15206,62.50003,325.57,0.37,0.58,2026-08-24,2108,N,nominal,2.0NRT,294.13,1.54,N
37.11721,62.35933,320.12,0.37,0.58,2026-08-24,2108,N,nominal,2.0NRT,294.81,6.26,N
37.11695,62.36364,321.63,0.37,0.58,2026-08-24,2108,N,nominal,2.0NRT,295.23,3.58,N
37.03654,62.41494,315.58,0.37,0.58,2026-08-24,2108,N,nominal,2.0NRT,295.07,3.63,N
37.03114,62.41442,326.43,0.37,0.58,2026-08-24,2108,N,nominal,2.0NRT,294.35,3.63,N
37.03088,62.41867,306.17,0.37,0.58,2026-08-24,2108,N,nominal,2.0NRT,294.62,4.21,N
36.47574,61.62046,305.11,0.4,0.6,2026-08-24,2108,N,nominal,2.0NRT,292.8,2.22,N
36.47854,61.62029,304.04,0.4,0.6,2026-08-24,2108,N,nominal,2.0NRT,292.83,2.29,N
36.37058,61.93938,310.94,0.39,0.59,2026-08-24,2108,N,nominal,2.0NRT,291.62,0.96,N
36.37097,61.93782,310.38,0.39,0.59,2026-08-24,2108,N,nominal,2.0NRT,291.6,0.74,N
36.16259,57.68702,301.97,0.67,0.73,2026-08-24,2108,N,nominal,2.0NRT,289.4,0.64,N
33.85027,72.87061,307.87,0.38,0.36,2026-08-24,2108,N,nominal,2.0NRT,296.18,1.01,N
33.90289,71.91724,309.84,0.39,0.36,2026-08-24,2108,N,nominal,2.0NRT,296.82,1.75,N
33.90868,71.46279,306.75,0.39,0.37,2026-08-24,2108,N,nominal,2.0NRT,296.36,0.66,N
33.68822,72.71246,313.03,0.38,0.36,2026-08-24,2108,N,nominal,2.0NRT,295.85,1.55,N
33.54464,71.54842,311.57,0.39,0.36,2026-08-24,2108,N,nominal,2.0NRT,297.55,0.69,N
33.29536,71.18689,314.36,0.4,0.37,2026-08-24,2108,N,nominal,2.0NRT,297.94,0.78,N
32.71789,72.77715,307.23,0.38,0.36,2026-08-24,2110,N,nominal,2.0NRT,296.25,0.6,N
32.88977,71.61715,324.91,0.39,0.36,2026-08-24,2110,N,nominal,2.0NRT,300.33,2.53,N
32.57596,72.56307,317.37,0.38,0.36,2026-08-24,2110,N,nominal,2.0NRT,299.84,2.72,N
33.75436,59.14855,301.68,0.53,0.67,2026-08-24,2110,N,nominal,2.0NRT,290.51,0.75,N
32.10258,74.17775,313.6,0.4,0.37,2026-08-24,2110,N,nominal,2.0NRT,297.89,1.18,N
32.08799,74.16105,309.75,0.4,0.37,2026-08-24,2110,N,nominal,2.0NRT,297.87,1.38,N
31.25866,76.92591,304.88,0.52,0.42,2026-08-24,2110,N,nominal,2.0NRT,290.63,1.06,N
32.29401,70.73388,312.37,0.4,0.37,2026-08-24,2110,N,nominal,2.0NRT,298.06,2.41,N
32.28942,70.74173,310.18,0.4,0.37,2026-08-24,2110,N,nominal,2.0NRT,297.47,2.64,N
29.45879,76.8923,303.48,0.55,0.43,2026-08-24,2110,N,nominal,2.0NRT,287.77,2.12,N
30.75835,56.6624,304.96,0.7,0.75,2026-08-24,2110,N,nominal,2.0NRT,291.23,2.9,N
30.23607,56.90831,314.74,0.68,0.74,2026-08-24,2110,N,nominal,2.0NRT,291.88,2.61,N
30.23685,56.91179,314,0.68,0.74,2026-08-24,2110,N,nominal,2.0NRT,292.06,3.68,N
29.99455,55.85799,306.82,0.78,0.78,2026-08-24,2110,N,nominal,2.0NRT,285.57,2.62,N
29.99225,55.85091,304.68,0.78,0.78,2026-08-24,2110,N,nominal,2.0NRT,285.04,2.62,N
29.99196,55.85804,297.83,0.78,0.78,2026-08-24,2110,N,nominal,2.0NRT,285.36,2.29,N
29.47913,60.80774,303.27,0.39,0.59,2026-08-24,2110,N,nominal,2.0NRT,291.94,0.63,N
